name	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
Acetobacterium sp. KB-1	16	7	31	10	5	14	7	253	10	28
Acetobacterium wieringae	27	15	53	15	13	53	8	636	7	71
Acetobacterium woodii	0	0	0	0	0	0	0	0	0	0
Acetohalobium arabaticum	0	0	0	0	0	0	0	0	0	0
Acetomicrobium mobile	0	0	0	0	0	0	0	0	0	0
Acholeplasma hippikon	4	3	25	1	4	5	6	14	2	1
Acholeplasma laidlawii	5	6	82	3	6	4	9	13	4	3
Achromobacter deleyi	61	25	152	127	117	40	43	41	35	27
Achromobacter denitrificans	87	33	267	174	185	39	57	40	61	38
Achromobacter insolitus	55	23	147	113	105	28	41	25	30	30
Achromobacter mucicolens	13	6	18	21	22	7	14	5	6	8
Achromobacter pestifer	33	39	91	78	77	11	28	32	23	23
Achromobacter phage JWF	0	0	1	0	0	0	0	0	0	0
Achromobacter ruhlandii	0	1	2	4	2	2	0	1	0	0
Achromobacter sp.	2	9	0	3	0	2	1	19	2	15
Achromobacter sp. 77	3	4	16	20	26	3	8	9	8	3
Achromobacter sp. AONIH1	59	36	126	121	129	31	39	31	38	44
Achromobacter sp. B7	8	6	25	23	21	5	9	8	13	7
Achromobacter sp. ES-001	10	8	28	17	23	3	6	7	6	4
Achromobacter sp. LM16	0	1	2	0	1	1	0	3	0	1
Achromobacter sp. MFA1 R4	46	17	98	82	101	24	31	27	27	16
Achromobacter spanius	117	57	230	176	195	67	75	63	66	61
Achromobacter xylosoxidans	156	91	413	357	365	107	130	118	122	81
Acidaminococcus fermentans	0	0	0	0	0	0	0	0	0	0
Acidaminococcus intestini	5	124	28	324	7	162	4	168	2	100
Acidianus ambivalens	6	2	7	1	2	0	3	2	2	1
Acidianus brierleyi	4	0	17	3	3	1	4	3	4	7
Acidianus hospitalis	0	0	0	0	0	0	0	0	0	0
Acidianus manzaensis	6	4	30	1	5	5	11	2	7	6
Acidianus sp. HS-5	0	1	9	0	6	4	0	2	6	1
Acidianus sulfidivorans	0	0	0	0	0	0	0	0	0	0
Acidianus two-tailed virus	0	0	0	0	1	1	0	0	0	0
Acidibrevibacterium fodinaquatile	36	4	122	91	124	8	19	9	26	9
Acididesulfobacillus acetoxydans	6	3	28	13	13	7	5	6	2	5
Acidiferrobacter sp. SPIII_3	19	2	102	90	57	10	5	7	7	4
Acidiferrobacter thiooxydans	15	2	73	41	44	11	9	11	6	5
Acidihalobacter aeolianus	22	13	302	266	88	17	13	7	20	15
Acidihalobacter ferrooxydans	30	9	266	224	110	24	23	10	19	9
Acidihalobacter yilgarnensis	26	11	257	192	73	19	26	13	18	9
Acidilobus saccharovorans	0	0	0	0	0	0	0	0	0	0
Acidilobus sp. 7A	1	0	2	3	3	1	1	0	1	0
Acidilutibacter cellobiosedens	7	6	29	8	4	21	8	38	11	16
Acidimicrobium ferrooxidans	0	0	0	0	0	0	0	0	0	0
Acidiphilium cryptum	0	0	0	0	0	0	0	0	0	0
Acidiphilium multivorum	7	1	31	12	18	2	4	1	9	4
Acidipropionibacterium acidipropionici	51	9	98	109	41	15	27	39	17	14
Acidipropionibacterium jensenii	36	13	102	107	46	26	24	58	15	22
Acidipropionibacterium virtanenii	23	11	71	57	24	18	21	28	8	7
Acidisarcina polymorpha	23	4	41	31	36	9	10	1	7	1
Acidithiobacillus caldus	11	2	81	83	33	11	3	4	15	4
Acidithiobacillus ferridurans	1	2	21	11	3	3	3	4	2	1
Acidithiobacillus ferriphilus	7	2	24	24	15	3	10	7	3	4
Acidithiobacillus ferrivorans	15	5	60	43	44	16	22	11	11	9
Acidithiobacillus ferrooxidans	30	14	72	47	43	15	16	13	14	37
Acidithiobacillus sp. 'AMD consortium'	2	1	2	3	2	2	1	2	0	0
Acidithiobacillus sp. YTS05	9	5	85	35	23	85	6	5	4	5
Acidithiobacillus thiooxidans	0	0	0	0	0	0	0	0	0	0
Acidobacterium capsulatum	0	0	0	0	0	0	0	0	0	0
Acidothermus cellulolyticus	0	0	0	0	0	0	0	0	0	0
Acidovorax antarcticus	135	376	130	190	148	75	118	384	74	129
Acidovorax avenae	0	0	0	0	0	0	0	0	0	0
Acidovorax carolinensis	729	5985	185	552	232	220	432	10730	283	1287
Acidovorax cattleyae	56	78	66	67	61	18	43	81	37	45
Acidovorax citrulli	70	88	87	96	97	29	65	117	51	40
Acidovorax monticola	185	459	146	263	175	110	131	426	136	228
Acidovorax radicis	226	995	93	319	117	81	223	1637	107	424
Acidovorax sp. 1608163	339	5264	121	1471	95	443	226	5928	201	5869
Acidovorax sp. 5MLIR	121	231	128	157	133	48	83	183	69	77
Acidovorax sp. HDW3	177	638	123	319	245	180	169	737	136	356
Acidovorax sp. JMULE5	305	2491	142	519	135	153	220	2395	154	869
Acidovorax sp. KKS102	336	4530	269	4558	156	340	244	5231	175	2245
Acidovorax sp. RAC01	303	1484	123	472	167	151	240	1548	164	766
Acidovorax sp. T1	482	2796	95	253	145	119	382	4359	166	720
Acidovorax sp. YS12	213	817	203	575	260	935	155	1156	173	642
Aciduliprofundum boonei	0	0	0	0	0	0	0	0	0	0
Acinetobacter baumannii	169	4488	324	599	77	468	64	4938	70	3180
Acinetobacter baylyi	16	82	31	49	12	6	9	149	12	37
Acinetobacter bereziniae	13	93	28	23	4	6	16	248	3	55
Acinetobacter bouvetii	12	105	20	21	5	7	8	314	10	217
Acinetobacter calcoaceticus	33	130	59	51	14	10	20	291	11	59
Acinetobacter chinensis	7	58	14	23	0	7	3	196	4	77
Acinetobacter colistiniresistens	19	202	27	62	6	13	13	252	7	118
Acinetobacter cumulans	24	222	35	63	7	41	9	523	12	144
Acinetobacter defluvii	24	163	58	84	7	7	20	514	17	93
Acinetobacter dispersus	19	176	24	39	7	9	1	145	9	98
Acinetobacter equi	17	129	27	37	9	9	6	283	12	42
Acinetobacter guillouiae	12	88	21	28	2	5	4	425	6	71
Acinetobacter gyllenbergii	12	120	30	41	4	6	4	139	6	75
Acinetobacter haemolyticus	37	841	68	160	17	68	9	998	16	504
Acinetobacter indicus	47	863	146	191	29	146	15	1144	20	529
Acinetobacter johnsonii	302	26096	122	468	23	117	56	17510	98	20167
Acinetobacter junii	55	1351	85	258	18	315	16	1221	24	958
Acinetobacter lactucae	5	8	7	7	5	4	2	19	0	3
Acinetobacter lanii	19	172	34	72	3	4	12	405	7	37
Acinetobacter larvae	17	91	57	56	9	15	13	179	15	53
Acinetobacter lwoffii	88	1235	78	151	15	48	17	1480	85	632
Acinetobacter nosocomialis	31	203	46	55	12	13	10	223	18	66
Acinetobacter oleivorans	0	0	0	0	0	0	0	0	0	0
Acinetobacter phage Ac42	0	0	0	1	0	0	0	0	0	0
Acinetobacter phage vB_AbaM_Acibel004	0	1	0	0	0	0	0	2	0	0
Acinetobacter phage vB_AbaM_phiAbaA1	0	0	1	0	0	0	0	0	0	0
Acinetobacter phage YMC13/03/R2096	0	0	0	0	0	1	0	0	0	0
Acinetobacter piscicola	18	404	38	68	11	26	6	964	10	203
Acinetobacter pittii	38	310	57	53	21	34	19	504	16	177
Acinetobacter portensis	22	314	14	35	8	12	9	974	7	94
Acinetobacter pseudolwoffii	9	390	15	18	7	12	2	579	3	161
Acinetobacter radioresistens	26	175	55	64	12	22	14	256	14	93
Acinetobacter schindleri	34	406	53	87	15	73	12	539	8	238
Acinetobacter seifertii	25	265	47	71	19	19	21	363	12	153
Acinetobacter septicus	5	58	8	13	1	3	2	91	3	27
Acinetobacter shaoyimingii	22	141	26	50	5	13	11	402	12	57
Acinetobacter soli	28	191	38	80	6	14	10	279	8	108
Acinetobacter sp.	0	1	0	2	0	0	0	3	0	0
Acinetobacter sp. 10FS3-1	17	219	36	52	5	19	8	341	6	89
Acinetobacter sp. Ac-14	0	9	1	1	0	0	0	12	0	12
Acinetobacter sp. ACNIH1	1	81	11	7	0	5	1	105	0	32
Acinetobacter sp. ACNIH2	7	240	15	20	3	18	1	421	6	178
Acinetobacter sp. AHP123	4	39	5	6	1	5	0	79	1	39
Acinetobacter sp. AS23	5	7	11	5	0	1	0	20	2	7
Acinetobacter sp. ASP199	6	103	19	34	1	10	3	192	3	33
Acinetobacter sp. BEC1-S18-ESBL-01	1	2	0	1	0	0	0	1	0	1
Acinetobacter sp. BHS4	2	13	2	1	1	0	1	13	2	0
Acinetobacter sp. C16S1	14	114	17	52	6	6	10	151	8	37
Acinetobacter sp. C32I	48	192	27	55	9	12	8	214	9	91
Acinetobacter sp. Colony158	4	15	6	10	0	1	2	36	4	8
Acinetobacter sp. CS-2	33	887	31	114	5	195	12	1374	7	257
Acinetobacter sp. F9	3	32	8	10	0	2	1	40	0	11
Acinetobacter sp. FDAARGOS_493	0	2	1	0	0	1	0	2	0	1
Acinetobacter sp. FDAARGOS_560	0	5	0	1	0	0	0	5	0	2
Acinetobacter sp. FDAARGOS_724	2	41	2	7	2	1	0	50	0	21
Acinetobacter sp. LoGeW2-3	13	101	17	32	7	6	7	225	5	41
Acinetobacter sp. LUNF3	1	199	2	13	1	2	0	125	0	159
Acinetobacter sp. M131	0	23	0	0	0	2	0	24	1	11
Acinetobacter sp. Marseille-Q1620	10	121	32	61	10	11	13	411	8	92
Acinetobacter sp. MYb10	7	51	9	7	2	2	2	142	1	24
Acinetobacter sp. NCu2D-2	21	145	27	38	7	10	15	369	2	52
Acinetobacter sp. NEB 394	38	4047	19	34	1	20	7	2522	9	2757
Acinetobacter sp. NEB149	1	86	7	12	0	5	0	97	0	50
Acinetobacter sp. NyZ410	6	66	10	24	1	4	2	242	2	83
Acinetobacter sp. PK01	5	55	14	12	2	13	3	120	7	50
Acinetobacter sp. SCLZS86	7	299	29	137	1	304	5	467	5	308
Acinetobacter sp. SH20PTE14	8	95	7	9	1	23	1	147	1	48
Acinetobacter sp. SH20PTE17	0	1	0	0	0	0	0	1	0	0
Acinetobacter sp. SUN	0	2	0	0	0	0	0	0	0	3
Acinetobacter sp. SWBY1	4	106	11	53	1	112	1	131	5	54
Acinetobacter sp. TGL-Y2	22	315	41	62	7	8	12	794	10	114
Acinetobacter sp. Tol 5	4	70	3	3	0	5	1	70	1	45
Acinetobacter sp. TTH0-4	50	1575	57	105	7	16	20	2783	14	170
Acinetobacter sp. WCHA45	18	901	30	154	3	107	0	792	5	1053
Acinetobacter sp. WCHA55	12	516	17	35	4	12	3	438	2	438
Acinetobacter sp. WCHAc010034	22	926	51	75	20	19	13	3008	18	1158
Acinetobacter sp. WCHAc010052	10	89	12	25	4	5	4	199	2	76
Acinetobacter sp. WY4	5	36	7	4	0	2	0	50	1	14
Acinetobacter sp. XS-4	5	33	10	13	5	3	6	57	6	18
Acinetobacter sp. Y-23	28	277	12	48	3	14	4	485	6	85
Acinetobacter sp. YH12068_T	4	31	0	7	1	16	2	73	3	9
Acinetobacter sp. YH12138	6	149	5	10	1	35	1	174	1	61
Acinetobacter sp. YH16040_T	4	84	1	18	1	24	3	121	0	37
Acinetobacter sp. YH16056_T	5	62	10	15	2	24	0	139	2	29
Acinetobacter sp. Z1	32	550	24	72	9	17	11	466	5	176
Acinetobacter tandoii	25	145	35	51	0	167	7	307	13	78
Acinetobacter towneri	24	526	110	455	9	1104	14	747	10	485
Acinetobacter ursingii	30	959	42	125	3	52	8	1357	22	531
Acinetobacter variabilis	11	217	36	55	8	50	8	354	8	111
Acinetobacter venetianus	0	7	0	0	0	0	0	7	0	19
Acinetobacter virus 133	0	0	0	0	0	0	0	0	0	0
Acinetobacter virus Acj61	0	0	0	0	0	0	0	0	0	0
Acinetobacter wanghuae	18	120	29	44	5	7	5	278	5	36
Acinetobacter wuhouensis	33	660	56	97	14	16	17	2190	17	646
Acionnavirus monteraybay	0	0	0	0	0	0	0	0	0	0
Actibacterium sp. EMB200-NS6	22	29	201	345	38	23	15	14	15	10
Actinacidiphila bryophytorum	43	7	148	93	97	13	31	24	28	9
Actinoalloteichus fjordicus	2	0	3	6	1	0	1	3	0	0
Actinoalloteichus hoggarensis	41	2	112	88	78	8	14	14	22	8
Actinoalloteichus hymeniacidonis	29	7	79	73	49	7	20	15	15	4
Actinoalloteichus sp. GBA129-24	4	0	9	6	4	2	0	0	1	1
Actinobacillus delphinicola	5	1	13	5	3	5	2	2	1	1
Actinobacillus equuli	1	1	6	7	2	51	6	4	2	3
Actinobacillus indolicus	3	1	12	30	3	11	1	5	5	3
Actinobacillus lignieresii	4	1	6	2	4	39	0	2	1	1
Actinobacillus pleuropneumoniae	6	2	26	30	4	166	7	11	4	3
Actinobacillus porcitonsillarum	5	1	7	20	4	5	5	5	0	0
Actinobacillus sp. GY-402	4	1	25	39	6	43	6	3	5	0
Actinobacillus suis	3	2	8	14	3	22	4	1	3	2
Actinobaculum sp. 313	7	6	19	21	16	7	3	24	4	7
Actinocatenispora sera	52	10	139	98	87	20	20	18	26	12
Actinocatenispora thailandica	52	12	163	137	97	15	29	14	29	13
Actinokineospora sp. UTMC 2448	37	9	174	99	114	15	24	21	18	10
Actinomadura graeca	45	10	172	88	109	18	28	16	36	12
Actinomadura madurae	54	13	184	129	114	21	24	19	50	18
Actinomadura sp. NAK00032	47	18	169	112	156	13	34	23	36	14
Actinomadura sp. WMMA1423	63	13	152	106	142	19	23	22	22	17
Actinomadura sp. WMMB 499	55	8	159	123	108	22	28	17	39	18
Actinomadura verrucosospora	64	13	202	106	132	17	25	30	39	14
Actinomarinicola tropica	203	10	463	383	553	20	161	14	369	71
Actinomyces faecalis	18	10	37	28	20	8	12	5	4	1
Actinomyces gaoshouyii	11	2	24	9	12	3	2	4	6	0
Actinomyces howellii	22	3	54	40	42	13	9	19	9	6
Actinomyces lilanjuaniae	14	4	35	25	17	6	6	11	5	4
Actinomyces marmotae	6	1	39	11	20	2	6	6	4	3
Actinomyces naeslundii	13	6	41	46	20	15	8	11	5	3
Actinomyces oris	12	1	45	29	16	8	3	7	3	3
Actinomyces pacaensis	4	2	11	30	4	3	3	5	6	3
Actinomyces procaprae	9	7	38	40	30	14	12	20	11	6
Actinomyces qiguomingii	17	4	60	33	24	6	10	22	4	4
Actinomyces radicidentis	16	5	54	50	53	41	7	23	11	3
Actinomyces respiraculi	13	7	40	34	42	11	11	20	14	3
Actinomyces slackii	21	4	56	48	29	18	8	19	10	2
Actinomyces sp. 432	14	7	45	32	23	6	5	10	4	1
Actinomyces sp. Chiba101	16	5	49	24	18	7	7	5	6	9
Actinomyces sp. HMT 175	2	1	15	16	5	2	2	1	0	1
Actinomyces sp. HMT897	2	2	15	3	6	2	2	6	1	2
Actinomyces sp. MAS-1	14	6	61	55	33	9	13	13	11	13
Actinomyces sp. oral taxon 169	3	3	8	20	7	5	1	1	2	2
Actinomyces sp. oral taxon 171	0	0	0	0	0	0	0	0	0	0
Actinomyces sp. oral taxon 414	24	8	71	67	33	18	11	15	19	7
Actinomyces sp. oral taxon 897	0	2	9	8	7	4	5	3	2	0
Actinomyces sp. Z16	19	4	39	41	32	10	7	18	7	3
Actinomyces sp. zg-332	4	1	12	0	10	1	1	5	8	0
Actinomyces trachealis	18	5	33	21	15	9	6	2	4	0
Actinomyces viscosus	13	3	37	32	18	9	12	8	9	7
Actinomyces weissii	20	7	53	27	27	8	6	11	11	3
Actinomyces wuliandei	9	2	28	28	16	8	3	3	6	1
Actinoplanes derwentensis	60	11	164	138	127	21	28	31	33	12
Actinoplanes friuliensis	0	0	0	0	0	0	0	0	0	0
Actinoplanes ianthinogenes	59	9	178	120	106	20	25	27	46	24
Actinoplanes missouriensis	0	0	0	0	0	0	0	0	0	0
Actinoplanes phage phiAsp2	0	0	2	0	0	0	0	0	0	0
Actinoplanes sp. L3-i22	84	19	248	150	162	26	49	29	54	12
Actinoplanes sp. N902-109	74	12	196	139	120	16	25	20	40	16
Actinoplanes sp. OR16	75	7	189	112	118	17	33	19	44	8
Actinoplanes sp. SE50/110	0	0	1	0	1	0	0	0	0	0
Actinoplanes teichomyceticus	0	0	0	0	0	0	0	0	0	0
Actinopolymorpha singaporensis	39	5	117	92	78	17	22	11	34	9
Actinopolyspora erythraea	21	5	72	50	46	9	9	11	10	6
Actinosynnema mirum	0	0	0	0	0	0	0	0	0	0
Actinosynnema pretiosum	22	10	76	59	62	9	17	12	20	4
Actinotalea sp. JY-7876	52	11	90	76	59	10	28	20	23	6
Actinotignum schaalii	7	3	29	16	16	7	3	13	2	6
Acutalibacter muris	12	13	37	25	14	30	4	69	4	30
Acuticoccus sp. I52.16.1	55	11	235	177	140	20	29	18	52	19
Adhaeretor mobilis	20	3	81	55	31	10	6	2	13	5
Adhaeribacter radiodurans	59	4	84	12	46	9	41	10	36	12
Adhaeribacter swui	55	5	95	17	36	10	29	8	35	9
Adlercreutzia equolifaciens	2	9	5	39	4	5	1	14	0	4
Adlercreutzia hattorii	9	62	12	42	9	11	0	110	6	20
Adoxophyes honmai entomopoxvirus	0	0	0	0	0	0	0	0	0	0
Adoxophyes honmai nucleopolyhedrovirus	0	0	2	0	0	0	0	0	0	0
Adoxophyes orana nucleopolyhedrovirus	0	0	1	0	0	0	0	0	0	0
Advenella kashmirensis	0	0	0	0	0	0	0	0	0	0
Advenella mimigardefordensis	0	0	0	0	0	0	0	0	0	0
Aegicerativicinus sediminis	48	4	107	10	16	8	28	12	19	13
Aegirvirus SCBP42	0	0	0	0	0	0	0	0	0	0
Aeoliella mucimassa	25	7	116	85	56	15	17	7	22	8
Aequoribacter fuscus	93	7	452	680	15	8	65	17	59	23
Aequorivita sp. H23M31	45	7	121	27	16	7	38	13	19	15
Aequorivita sublithincola	0	0	0	0	0	0	0	0	0	0
Aeribacillus pallidus	6	1	25	4	3	5	3	13	6	3
Aerococcus christensenii	4	2	6	4	5	4	4	11	5	2
Aerococcus sanguinicola	0	1	9	2	4	1	0	8	2	1
Aerococcus urinae	3	1	8	0	3	2	4	5	2	2
Aerococcus urinaeequi	11	5	13	8	5	6	4	31	2	3
Aerococcus urinaehominis	0	0	9	2	2	6	2	18	3	0
Aerococcus viridans	8	8	3	3	2	7	3	93	2	6
Aeromicrobium chenweiae	29	11	71	43	49	9	16	12	11	5
Aeromicrobium choanae	30	14	80	80	50	16	14	14	18	6
Aeromicrobium erythreum	27	9	84	74	69	10	14	22	22	6
Aeromicrobium marinum	0	0	0	0	0	0	0	0	0	0
Aeromicrobium sp. A1-2	29	4	71	58	39	10	14	12	17	6
Aeromicrobium sp. Leaf245	35	7	83	69	60	10	15	19	17	7
Aeromicrobium sp. zg.Y1379	31	8	78	71	52	12	21	12	21	7
Aeromicrobium sp. zg.Y50	18	9	61	39	48	7	13	5	7	6
Aeromicrobium sp. zg-629	15	7	53	38	39	7	12	14	6	2
Aeromicrobium yanjiei	32	8	70	67	43	5	16	10	14	3
Aeromonas allosaccharophila	3	24	10	22	6	31	2	35	1	55
Aeromonas caviae	45	724	3100	2850	165	4165	21	1653	55	3333
Aeromonas dhakensis	9	38	87	134	32	235	16	87	10	97
Aeromonas encheleia	17	79	77	107	51	230	12	148	12	92
Aeromonas enteropelogenes	18	33	73	322	57	164	11	51	9	52
Aeromonas hydrophila	73	414	301	468	113	962	49	863	108	925
Aeromonas jandaei	14	28	72	73	33	169	12	67	3	59
Aeromonas media	60	2307	120	257	72	954	47	5792	28	2826
Aeromonas rivipollensis	7	254	13	15	9	33	3	467	1	97
Aeromonas rivuli	13	25	67	65	27	173	2	72	8	56
Aeromonas salmonicida	31	204	154	149	47	385	26	1125	28	178
Aeromonas sanarellii	7	30	33	70	11	268	2	49	3	84
Aeromonas schubertii	23	24	116	132	42	250	11	41	11	59
Aeromonas simiae	15	27	98	105	28	377	10	64	6	64
Aeromonas sobria	40	14	1	10	8	10	21	42	7	12
Aeromonas sp.	0	8	0	3	0	5	0	18	1	10
Aeromonas sp. 1805	1	3	2	12	0	13	2	8	0	13
Aeromonas sp. 2692-1	2	11	5	8	3	22	0	31	0	22
Aeromonas sp. ASNIH1	1	9	9	22	2	25	2	20	2	35
Aeromonas sp. ASNIH2	0	23	8	40	1	61	0	47	0	53
Aeromonas sp. ASNIH3	13	15	102	224	95	113	13	50	10	38
Aeromonas sp. ASNIH4	5	33	36	60	8	203	2	75	5	74
Aeromonas sp. ASNIH5	7	20	12	40	5	69	0	23	2	50
Aeromonas sp. ASNIH7	1	6	3	12	0	45	1	20	1	31
Aeromonas sp. CA23	14	45	47	42	16	84	8	93	6	43
Aeromonas sp. CU5	6	22	33	34	16	105	9	59	6	37
Aeromonas sp. FDAARGOS 1402	1	10	3	25	14	368	2	28	1	54
Aeromonas sp. FDAARGOS 1403	0	6	27	31	4	25	0	14	1	8
Aeromonas sp. FDAARGOS 1404	0	2	2	7	2	18	1	7	0	18
Aeromonas sp. FDAARGOS 1405	5	4	15	12	7	43	2	13	1	14
Aeromonas sp. FDAARGOS 1406	0	5	5	29	2	115	0	23	0	57
Aeromonas sp. FDAARGOS 1407	0	5	7	33	10	78	2	9	3	12
Aeromonas sp. FDAARGOS 1408	1	1	6	8	1	5	0	2	0	6
Aeromonas sp. FDAARGOS 1409	0	16	18	39	13	176	1	30	2	51
Aeromonas sp. FDAARGOS 1410	3	4	6	11	5	21	1	3	0	10
Aeromonas sp. FDAARGOS 1411	1	4	5	3	4	18	0	9	1	9
Aeromonas sp. FDAARGOS 1414	1	1	8	9	3	26	1	6	2	9
Aeromonas sp. FDAARGOS 1415	8	57	47	243	25	216	1	87	7	287
Aeromonas sp. FDAARGOS 1416	0	6	4	10	2	19	1	5	1	7
Aeromonas sp. FDAARGOS 1417	0	1	6	8	2	23	1	26	0	16
Aeromonas sp. FDAARGOS 1418	0	2	0	13	1	27	0	8	0	14
Aeromonas sp. FDAARGOS 1419	1	5	11	9	0	16	0	8	1	7
Aeromonas sp. Ne-1	0	0	0	0	0	0	0	1	0	0
Aeromonas sp. WP2-W18-CRE-05	0	15	7	25	13	190	0	44	2	106
Aeromonas taiwanensis	0	1	0	1	0	4	0	9	0	7
Aeromonas veronii	55	468	306	727	647	2835	34	8071	43	1560
Aeropyrum camini	0	0	0	0	0	0	0	0	0	0
Aeropyrum pernix	0	0	0	0	0	0	0	0	0	0
Aerosticca soli	65	6	96	143	100	13	36	20	33	12
Aestuariispira ectoiniformans	22	5	81	74	43	11	12	6	14	8
Afipia carboxidovorans	40	6	106	104	111	11	17	7	27	20
Afipia sp. GAS231	31	6	95	77	85	12	23	8	19	8
Afonbuvirus coli	0	0	0	0	0	0	0	0	0	0
Afonbuvirus faecalis	0	0	0	0	0	0	0	0	0	0
Afonbuvirus intestinihominis	0	0	0	0	0	0	0	0	0	0
African swine fever virus	1	0	3	0	2	0	0	0	2	1
Agarilytica rhodophyticola	18	7	56	22	17	7	9	12	18	10
Agarivorans aestuarii	8	2	30	8	4	4	4	4	4	4
Agarivorans albus	3	2	17	6	4	1	3	3	3	5
Agarivorans gilvus	6	2	37	25	12	10	9	3	2	6
Agarivorans sp. B2Z047	4	2	15	3	5	4	3	4	1	1
Agarivorans sp. TSD2052	12	2	32	6	6	6	7	2	7	3
Agatevirus agate	0	0	0	0	0	0	0	0	0	0
Agatevirus bobb	0	0	0	0	0	0	0	0	0	0
Aggregatibacter actinomycetemcomitans	14	3	47	48	13	10	6	8	9	6
Aggregatibacter aphrophilus	6	5	26	22	6	13	4	6	4	8
Aggregatibacter segnis	4	1	12	5	2	2	1	1	2	1
Aggregatibacter sp. 2125159857	1	0	13	17	3	5	1	4	2	3
Aggregatibacter sp. Marseille-P9115	1	2	5	10	1	3	1	0	1	0
Aggregatibacter sp. oral taxon 513	0	2	13	4	3	0	2	1	1	3
Aggregatimonas sangjinii	25	2	112	4	14	4	13	7	14	10
Agreia sp. COWG	25	3	51	39	24	6	14	17	11	5
Agrobacterium deltaense	0	0	1	2	0	0	0	0	0	0
Agrobacterium fabacearum	4	0	11	15	2	0	1	1	1	0
Agrobacterium fabrum	27	15	53	83	36	11	13	13	14	8
Agrobacterium genomosp. 6	0	0	0	0	0	0	0	0	1	0
Agrobacterium larrymoorei	19	5	70	51	23	10	9	8	16	8
